0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
C0340283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0035309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0344297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0038986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0016452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0015393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0917967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1140621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0022408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0033978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0031212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0022658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0034882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0039130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0176403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0176398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0178032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0016767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0025289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1705480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0264886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0003869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0520474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0348712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0015397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0339670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0024115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1263846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0036658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0524528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0160474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0021364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1442171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0158298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0030846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0014852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0348727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0020428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0014609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0917805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0810249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0497538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0497550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0153959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0013878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1874328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0919386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0011570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0015609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0024530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0158698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0011630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1254881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0009759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0176155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0024523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0574032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0030517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3542465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0153117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0446516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0270890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0085584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3665668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0035326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0035238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0158326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0085377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0524662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0023610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0453113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1977349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0549602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0006856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0039663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1510472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3539177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1123023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1334014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0013778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0151942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0153111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0596901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0037952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0028790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0041227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0027868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0022362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0161734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2266957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1744619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0846290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0158053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0008630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
